Platform,Model Name,price,color,Model Code,Frame,Fork,Headset,Rear Derailleur,Front Derailleur,Shifters,Chain,Crank,Rear Cogs,Bottom Bracket,Brakes,Brake Levers,Front Hub,Rear Hub,Rims,Spokes,Tire Size,Wheel Size,Tires,Front Tire,Rear Tire,Handlebar,Stem,Grips,Saddle,Seatpost,Wheel Sensor,Extra 1,image_url,Hubs,Ingestion Hazard,Rear Shock,Drive Unit,Battery,Charger,Display,Certifications,Brake Type
SystemSix,SystemSix Carbon Ultegra,"$5,400",Candy Red,C11401M,"SystemSix Carbon, integrated cable routing w/ Switchplate, SAVE, PF30a, flat mount disc, 12x142 Speed Release thru-axle","SystemSix Carbon, 1-1/8"" - 1-1/4"" steerer, 12x100mm Speed Release thru-axle, flat mount disc, 55mm offset (47-51cm) 45mm offset (54-62cm)","Integrated, 1-1/8"" - 1-1/4""",Shimano Ultegra,"Shimano Ultegra, braze-on","Shimano Ultegra, 11-speed","Shimano HG601, 11-speed","HollowGram, BB30a, OPI SpideRing, 52/36","Shimano 105, 11-30, 11-speed",Cannondale Alloy PressFit30,"Shimano Ultegra hydraulic disc, 160/140mm RT800 rotors",Shimano Ultegra,TBD,TBA,"Vision SC55, carbon clincher disc, tubeless ready",DP Spokes - 21F / 24R,25,700c,"Vittoria Rubino Pro Bright Black, 700x25c, reflective strip",,,"HollowGram KNØT SystemBar, Carbon, 8 deg. pitch adjust","HollowGram KNØT, Alloy w/ cable cover, -17°","Cannondale Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","HollowGram 60 KNØT Carbon, 330mm",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/jvca82iq68/800px@1x/C21_C11401M_SystemSix_Crb_Ult_CRD_D7.jpg?color=eff2f4&q=90,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
Mavaro Neo,Mavaro Neo 1 Low StepThru,"$5,250",Candy Red,C68044U,"SmartForm C1 Alloy, low step-thru, removable 750Wh downtube battery, integrated front running light, tapered headtube, internal cable routing, 135mm QR hub spacing, IS disc mount, motor protection","Cannondale HeadShok, 50mm travel, Quad Cage needle bearing internals, coil spring, twin chamber semi open-bath oil damping, post mount disc, 110x15mm thru-axle","Integrated Sealed Bearing, Tapered, internal cable routing","Shimano Nexus i5e, internal gear hub, 5-speed",,"Shimano Nexus Revoshift, 5-speed twist shifter",Gates CDX high performance carbon drive belt,"Gates Bosch E-bike, w/ 46T sprocket","Gates CDX, 34T",,"Riderever Attack-XU, 4-piston hydraulic disc, 203/203 rotors",Riderever Attack-XU hydraulic disc,"Shimano MT400, 15x110mm thru-axle","Shimano Nexus i5e, internal gear hub, 5-speed","WTB STX i30 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.0,27.5/29,"Continental eContact Plus w/ reflective sidewalls 27.5x2.20"" 55-584 (S/M), 29x2.20"" 55-622 (L/XL)","Continental eContact Plus w/ reflective sidewalls 27.5x2.20"" 55-584 (S/M), 29x2.20"" 55-622 (L/XL)","Continental eContact Plus w/ reflective sidewalls 27.5x2.20"" 55-584 (S/M), 29x2.20"" 55-622 (L/XL)",Cannondale Urban Backsweep,"Cannondale Urban Intellimount, internal cable routing, SP-Connect compatible phone mount","Cannondale Ergo Fitness Dual Density, Lock-on",Selle Royal Essenza,"SR Suntour NCX SP12 Parallelogram Suspension Seatpost, 31.6, 300mm (SM/MD), 400mm (LG/XL)",,"Integrated headtube running light, Cannondale Urban rear rack (25kg, Racktime compatible), Curana Apollo fenders, AXA Compactline 35E Front Light, AXA Blueline Rear Light, kickstand",https://embed.widencdn.net/img/dorelrl/ciu0qbvhhs/800px@1x/C24_C68044U_Mavaro_Neo_1_C3_LSTH_CRD_D9.jpg?color=eff2f4&q=90,,,,"Bosch Performance Line CX Speed, 28mph","Bosch PowerTube, 750Wh",Bosch 4A,Bosch Kiox 300 w/ LED remote,,
Moterra Neo LT,Moterra LT Carbon 2,"$5,250$7,500",Matte Black,C25572U,"Moterra Carbon Front Triangle, SmartForm C1 Alloy Swingarm, 160mm travel, Proportional Response Tuned Suspension, removable downtube battery, alloy skid plate, 55mm chainline, internal cable routing, 148x12mm thru-axle, UDH hanger, post mount brake, 1.5” – 1.8” tapered headtube, 18mm two-bolt kickstand mount","RockShox Zeb Select, Charger RC, 170mm, DebonAir, 15x110mm, 44mm offset","Acros integrated sealed bearing, tapered",Shimano XT,,"Shimano SLX, 12-speed","Shimano SLX, 12-speed","FSA Bosch E-bike w/ 55mm chainline, 160mm, 34T","Shimano SLX, 10-51, 12-speed",,"Magura MT5 4-piston hydraulic disc, Magura MDR-P 220/203mm, 6-bolt rotors",Magura MT5 Trail HC hydraulic disc,,,"WTB ST i30 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.6,29,"(F) Maxxis Assegai, 29x2.6"", 3C, EXO+, tubeless ready, (R) Maxxis DHR II, 27.5x2.6"", 3C, EXO+, tubeless ready",,,"Cannondale 3 Riser, 6061 Alloy, 25mm rise, 8° sweep, 5° rise, 800mm","Cannondale 2, 6061 Alloy, 35mm, 0°",Fabric FunGuy,"Fabric Scoop Shallow Sport, steel rails","Cannondale DownLow Dropper, internal routing, 31.6, 125mm (S), 150mm (M), 170mm (L-XL)",,Pre-installed light cable,https://embed.widencdn.net/img/dorelrl/muqpbivahr/800px@1x/C22_C25572U_Moterra_Neo_Crb_LT_2_BBQ_NDS.jpg?color=f7f7f7&q=90,"(F) Formula 15x110mm thru-axle / (R) Shimano MT410, 12x148mm thru-axle",,"RockShox Deluxe Select+, Coil, 2-Pos mode adjust, adjustable rebound",Bosch Performance Line CX 250W,"Bosch PowerTube, 750Wh",Bosch 4A,Bosch Kiox 300 w/ LED remote,UL 2849,
Scalpel,Scalpel Carbon 3,"$5,050",Mercury,C24401M,"Scalpel Carbon, 100mm travel, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube, Speed Release 12mm thru axle, Ai Offset, Stash compatible","Lefty Ocho, 100mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 55mm offset","Integrated, 1-1/8 to 1.5"", sealed angular contact bearings",Shimano XT,,"Shimano SLX, 12-speed","Shimano SLX, 12-speed","HollowGram, BB30a, OPI SpideRing, 34T, Ai offset","Shimano SLX, 10-51, 12-speed",Cannondale Alloy PressFit30,"Shimano Deore M6000 hydraulic disc, 160/160mm RT54 rotors",Shimano Deore M6000 hydraulic disc,Lefty 60,"Shimano MT510, 12x148mm thru-axle","Stan's NoTubes Crest S1, 28h, tubeless ready",DT Swiss Champion,2.25,29,"(F) Schwalbe Racing Ray Performance, 29x2.25"", Addix Compound, tubeless ready, (R) Schwalbe Racing Ralph Performance, 29x2.25"", Addix Compound, tubeless ready","Schwalbe Racing Ray Performance, 29x2.25"", Addix Compound, tubeless ready","Schwalbe Racing Ralph Performance, 29x2.25"", Addix Compound, tubeless ready","Cannondale 2 Flat, butted 2014 Alloy, 31.8mm, 3° rise, 8° sweep, 760mm","Cannondale 3, 6061 Alloy, 31.8, 7°",Cannondale XC Silicone,"Prologo Dimension NRD, STN rails","Cannondale 2, 7075 Alloy, 31.6x400mm",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/soeotbue50/800px@1x/C21_C24401M_Scalpel_Crb_3_MRC_D7.jpg?color=fafafa&q=90,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"Fox Float DPS Performance Elite EVOL, remote lockout, adjustable rebound",,,,,,Disc
SuperSix EVO SE,SuperSix EVO SE,"$5,000.01 - $5,200",Meteor Gray,C17102U,"SuperSix EVO CX Carbon, internal cable routing w/ Switchplate, 12x142mm Speed Release thru-axle, SAVE, PF30-83 Ai, flat mount disc, integrated seatpost binder","SuperSix EVO CX Carbon, SAVE, integrated crown race, 12x100mm Speed Release thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/2"", 55mm offset","Integrated, 1-1/8"" - 1.5""",SRAM Rival eTap AXS,"SRAM Rival eTap AXS, braze-on",SRAM Rival eTap AXS HRD,"SRAM Rival, 12-speed","SRAM Rival DUB X-Range, 46/33","SRAM Rival XG-1250, 12-speed 10-36","SRAM DUB PF30A Road 83mm, Cannondale Ai","SRAM Rival hydraulic disc, 160/160mm Paceline rotors",SRAM Rival eTap AXS HRD,,,"DT Swiss G540, 28h, 24mm IW, tubeless ready","Stainless Steel, 14g",40,700c,"Vittoria Terreno Dry TNT, 700x40c, tubeless ready","Vittoria Terreno Dry TNT, 700x40c, tubeless ready","Vittoria Terreno Dry TNT, 700x40c, tubeless ready","Cannondale 2, 6061 Alloy, Compact","Cannondale 2, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm","Prologo Dimension AGX, Tirox","HollowGram 27 SL KNØT, Carbon, 2 bolt clamp, 330mm, 0mm offset (46cm), 15mm offset (51-58cm)",,,https://embed.widencdn.net/img/dorelrl/kug4prgruc/800px@1x/C21_C17102U_SuperSix_EVO_SE_MTG_D7.jpg?color=f1edea&q=90,"(F) Formula CL-712, 12x100mm centerlock / (R) Formula RXC-400, 12x142mm centerlock, Ai offset",,,,,,,,
Scalpel HT,Scalpel HT Hi-MOD 1,"$4,840$6,050",White,C25201U,"Scalpel HT Hi-MOD Carbon, Proportional Response Design, PF30-83, tapered head tube, 55mm chainline, Speed Release 12mm thru axle w/UDH hanger","Lefty Ocho 120 Carbon, 110mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 50mm offset","Integrated, 1-1/8 to 1.5"", sealed angular contact bearings",Shimano XTR,,"Shimano XT, 12-speed","Shimano XT, 12-speed","HollowGram, BB30 83MTB, OPI SpideRing, 34T, 55mm chainline","Shimano XT, 10-51, 12-speed",Cannondale Alloy PressFit30,"Shimano XT hydraulic disc, 180/160mm XT rotors",Shimano XT hydraulic disc,,,"HollowGram 25, Superlight Hi-Impact Carbon, 28h, 25mm inner width, tubeless ready","DT Swiss Competition Race, straight-pull",2.25,29,"(F) Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready, (R) Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready","Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Cannondale 1 Flat, Carbon, 31.8mm, 9° backsweep, 760mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°",Cannondale XC Silicone,"Prologo Dimension NDR, Tirox rails","Cannondale C1 Carbon, 27.2x400mm",Cannondale Wheel Sensor,Tubeless valve stems,https://embed.widencdn.net/img/dorelrl/gxntl8ungw/800px@1x/C21_C25201U_Scalpel_HT_HM_1_WHT_D7.jpg?color=efeeee&q=90,"(F) HollowGram Lefty 60 / (R) HollowGram w/DT Swiss Star Ratchet internals, 12x148mm",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Scalpel,Scalpel Carbon 2,"$4,763.01$6,350",Graphite,C24301M,"Scalpel Carbon, 100mm travel, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube, Speed Release 12mm thru axle, Ai Offset, Stash compatible","Lefty Ocho, 100mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 55mm offset","Integrated, 1-1/8 to 1.5"", sealed angular contact bearings",Shimano XT,,"Shimano XT, 12-speed","Shimano XT, 12-speed","HollowGram, BB30a, OPI SpideRing, 34T, Ai offset","Shimano XT, 10-51, 12-speed",Cannondale Alloy PressFit30,"Shimano XT hydraulic disc, 160/160mm XT rotors",Shimano XT hydraulic disc,Lefty 60,"DT Swiss, 12x148mm","HollowGram 25, Superlight Hi-Impact Carbon, 28h, 25mm inner width, tubeless ready","HollowGram, 2.0/1.8/2.0, straight-pull",2.25,29,"(F) Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready, (R) Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready","Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Cannondale 2 Flat, butted 2014 Alloy, 31.8mm, 3° rise, 8° sweep, 760mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°",Cannondale XC Silicone,"Prologo Dimension NDR, STN rails","Cannondale 2, 7075 Alloy, 31.6x400mm",Cannondale Wheel Sensor,"Stash Kit (Fabric 8-in-1 Mini Tool and Dynaplug tubeless puncture repair tool), Tubeless valve stems",https://embed.widencdn.net/img/dorelrl/eaa5acizea/800px@1x/C21_C24301M_Scalpel_Crb_2_GRA_D8.jpg?color=eff2f4&q=90,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"Fox Float DPS Performance Elite EVOL, remote lockout, adjustable rebound",,,,,,Disc
,,"$4,650",Meteor Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://embed.widencdn.net/img/dorelrl/bu4xxwb7fb/800px@1x/C21_C66221M_Tesoro_Neo_X_MTG_D9.jpg?color=f1edea&q=90,,,,,,,,,
Tesoro Neo X,Tesoro Neo X 1 Remixte,"$4,650",Meteor Gray,C66221U SMU,"Remixte Step-Thru, SmartForm C1 Alloy, removable downtube battery, SAVE, tapered headtube, internal cable routing, Ai offset drivetrain, 148x12mm thru-axle, post mount disc, integrated speed sensor, KickFlip hidden kickstand mount, motor protection, rack/fendor mount, lock mount","SR Suntour Raidon 34 Boost, 100mm, 15x110mm thru-axle, 46mm offset","Integrated Sealed Bearing, Tapered",Shimano Deore M6100,,"Shimano Deore M6100, 12-speed","KMC X12, 12-speed","FSA Bosch E-Bike w/ custom Ai offset, 46T","Shimano Deore M6100, 10-51, 12-speed",,"Shimano MT200 hydraulic disc, 180/180mm RT30 rotors",Shimano MT200 hydraulic disc,"Shimano MT400, 15x110mm thru-axle","Shimano MT510, 12x148mm thru-axle","WTB STX i30 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.25,29,"Schwalbe G-One Allround Performance, 29x2.25"", RaceGuard, tubeless ready",,,"Cannondale 3, 6061 double-butted, 20mm rise, 9° back, 720mm","Cannondale Adjustable, A-headset, 31.8mm","Cannondale Ergo Fitness Dual Density, Lock-on",Cannondale Ergo Touring,"Suspension Seatpost - 350mm (S/M), 400mm (L)",,"Herrmans H-Black MR4 front light, H-Trace Micro rear light, Tubus Wingee fender, Tubus rear rack (25kg max capacity)",https://embed.widencdn.net/img/dorelrl/jcn6qdvfkn/800px@1x/C21_C66221U_Tesoro_Neo_X_MTG_D9.jpg?color=f1edea&q=90,,,,Bosch Performance Line Speed 250W (28mph),"Bosch PowerTube, 625Wh",Bosch 4A,Bosch Purion,UL 2849,Disc
SuperSix EVO,SuperSix EVO Carbon Disc Rival AXS,"$4,650",Mantis,C11631U,"SuperSix EVO Carbon, integrated cable routing w/ Switchplate, 12x142 Speed Release thru-axle, SAVE, PF30a, flat mount disc, integrated seat binder","SuperSix EVO Carbon, SAVE, integrated crown race, 12x100mm Speed Release thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" steerer and 55mm offset (44-54cm), 1-1/8"" to 1-3/8” steerer and 45mm offset (56-62cm)","Integrated, 1-1/8"" - 1-1/4"" (44-54cm), 1-1/8"" - 1-3/8"" (56-62cm)",SRAM Rival eTap AXS,"SRAM Rival eTap AXS, braze-on",SRAM Rival eTap AXS HRD,"SRAM Rival, 12-speed","SRAM Rival DUB X-Range, 46/33","SRAM Rival XG-1250, 10-36, 12-speed",SRAM DUB PF30A Road 73mm,"SRAM Rival hydraulic disc, 160/160mm Paceline rotors",SRAM Rival eTap AXS HRD,,,"DT Swiss R470 DB, 28h","Stainless Steel, 14g",25,700c,"Vittoria Rubino Pro Bright Black, 700x25c","Vittoria Rubino Pro Bright Black, 700x25c","Vittoria Rubino Pro Bright Black, 700x25c","HollowGram SAVE SystemBar, Carbon, 8 deg. pitch adjust","HollowGram KNØT, Alloy w/ cable cover, -6°","Cannondale Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","HollowGram 27 SL KNØT, Carbon, 2 bolt clamp, 330mm, 0mm offset (44-48cm), 15mm offset (51-62cm)",,,https://embed.widencdn.net/img/dorelrl/ilhkbf2ylz/800px@1x/C21_C11631U_SuperSix_EVO_Crb_Disc_Rival_AXS_MAT_D7.jpg?color=f1f3e2&q=90,"(F) Formula CL-712, 12x100mm centerlock / (R) Formula RXC-400, 12x142mm centerlock",,,,,,,,
Scalpel SE,Scalpel Carbon SE 1,"$4,613$6,150",Rally Red,C24251M,"Scalpel SE Carbon, 120mm travel, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube, Speed Release 12mm thru axle, Ai offset, Stash compatible","RockShox SID Select+ RL, 120mm, Debonair, 15x110mm thru-axle, tapered steerer, 44mm offset","Integrated Sealed Bearing, Tapered",Shimano XT,,"Shimano XT, 12-speed","Shimano SLX, 12-speed","HollowGram, BB30a, OPI SpideRing, 32T, Ai offset","Shimano XT, 10-51, 12-speed",Cannondale Alloy PressFit30,"Shimano XT hydraulic disc, 180/160mm XT rotors",Shimano XT hydraulic disc,"Formula, 15x110mm","DT Swiss, 12x148mm","HollowGram 25, Superlight Hi-Impact Carbon, 28h, 25mm inner width, tubeless ready","DT Swiss Competition Race, straight-pull",2.35,29,"(F) Maxxis Ardent Race, 29x2.35"", EXO Protection, tubeless ready / (R) Maxxis Rekon Race, 29x2.35"", EXO Protection, tubeless ready","Maxxis Ardent Race, 29x2.35"", EXO Protection, tubeless ready","Maxxis Recon Race, 29x2.25"", EXO Protection, tubeless ready","Cannondale 1 Riser, Carbon, 31.8mm, 9° sweep, 4° rise, 780mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°",Cannondale XC Silicone,"Cannondale Scoop Flat Elite, cro-mo rails","Cannondale DownLow Dropper, internal routing, 31.6, 100mm (S), 125mm (M-L), 150mm (XL)",Cannondale Wheel Sensor,"Stash Kit (Fabric 8-in-1 Mini Tool and Dynaplug tubeless puncture repair tool), Tubeless valve stems",https://embed.widencdn.net/img/dorelrl/uswyjdqxbp/800px@1x/C23_C24251M_Scalpel_Crb_SE_1_RRD_D6.jpg?color=eff2f4&q=90,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"RockShox SIDLuxe Select+, 2-Pos mode adjust, adjustable rebound",,,,,,Disc
Tesoro Neo X,Tesoro Neo X 1,"$4,600",Grey,C66172U,"Tesoro Neo X, SmartForm C1 Alloy, removable downtube battery, dual battery compatible, fully internal cable routing, 135x9mm, belt-compatible dropout, flatmount disc, headtube waterbottle mounts, integrated daytime running light, HDT child seat/cargo mount compatible","SR Suntour XCR34, 100mm, coil, boost spacing, offset - 44mm (S) / 51mm (M, L)","Integrated Sealed Bearing, Tapered",microSHIFT XLE11,,"microSHIFT XLE11, 11-speed","KMC X11, 11-speed","FSA Bosch E-Bike, 46T","microSHIFT H-Series, 11-46, 11-speed",,"Riderever Attack-XU, 4-piston hydraulic disc, 203/203 rotors",Riderever Attack-XU hydraulic disc,,,"WTB STX i30 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.1,700c,"Continental Race King 29x2.2"" 55-622 (M,L) / 27.5x2.2"" 55-584 (S)",,,"Cannondale Trekking, 31.8mm","Cannondale 2, 6061 Alloy, 31.8, 70mm, integrated cable routing",Cannondale Comfort,Fizik Vivo Active Ergo,"Parallelogram Suspension Seatpost, 31.6, 25mm Setback, 50mm Travel, 300mm (SM), 350mm (MD), 400mm (LG, XL)",,,https://embed.widencdn.net/img/dorelrl/rv08twwddg/800px@1x/C23_C66172U_Tesoro_Neo_X_1_GRY_D9.jpg?color=f3f3f3&q=90,"(F) Formula CL-811, 15x110mm centerlock / (R) Formula CL-26, 135QR centerlock",,,"Bosch Performance Line Speed, 250W (28 mph)","Bosch PowerTube, 750Wh",Bosch 4A,Bosch Kiox 300 w/ LED Remote,,
Tesoro Neo X,Tesoro Neo X 1 StepThru,"$4,600",Grey,C66162U,"Tesoro Neo X Step-Thru, SmartForm C1 Alloy, removable downtube battery, dual battery compatible, fully internal cable routing, 135x9mm, belt-compatible dropout, flatmount disc, headtube waterbottle mounts, integrated daytime running light, HDT child seat/cargo mount compatible","SR Suntour XCR34, 100mm, coil, boost spacing, offset - 44mm (S) / 51mm (M, L)","Integrated Sealed Bearing, Tapered, internal cable routing","microSHIFT XLE, medium cage",,"microSHIFT XLE Xpress Shifter, 11-speed","KMC X11, 11-speed","Bosch Gen4, 46T","microSHIFT H-Series, 11-46, 11-speed",,"Riderever Attack-XU, 4-piston hydraulic disc, 203/203 rotors",Riderever Attack-XU hydraulic disc,"Shimano MT400, 15x110mm thru-axle","Shimano R600, 32H, QR","WTB STX i30 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.2,27.5/29,"Continental Race King 29x2.2"" 55-622 (M,L) / 27.5x2.2"" 55-584 (S)","Maxxis Pace, 29x2.1"" 53-584 (M,L), 27.5x2.1"" 53-622 (S)","Maxxis Pace 29x2.1"" 53-584 (M,L), 27.5x2.1"" 53-622 (S)",Cannondale Trekking,"Cannondale 2, 6061 Alloy, 31.8, 70mm, integrated cable routing","Cannondale Ergo Fitness Dual Density, Lock-on",Fizik Vivo Active Ergo,"Parallelogram Suspension Seatpost, 31.6, 25mm Setback, 50mm Travel, 300mm (SM), 350mm (MD), 400mm (LG)",,,https://embed.widencdn.net/img/dorelrl/bssqmuwkza/800px@1x/C24_C66162U_Tesoro_Neo_X_1_STH_GRY_D9.jpg?color=f3f3f3&q=90,,,,Bosch Performance Line Speed (28 mph),"Bosch PowerTube, 750Wh",Bosch 4A,Bosch Kiox 300 w/ LED remote,,
Moterra Neo,Moterra 5,"$4,550",Mantis,C69201M,"150mm travel, SmartForm C2 Alloy, Cannondale Tuned Suspension, removable downtube battery, internal cable routing, 148x12mm thru-axle, post mount brake, tapered headtube","SR Suntour XCR LO Boost 29, 140mm travel, 15mm thru axle, tapered alloy steerer","Integrated Sealed Bearing, Tapered",Shimano Deore M6000,,"Shimano Deore M4100, 10-speed","Shimano Deore, 10-speed","FSA Shimano E-Bike, 165mm, FSA Megatooth, 34T","Shimano HG500, 11-42, 10-speed",,"Shimano MT200 hydraulic disc, 180/180mm RT10 rotors",Shimano MT200 hydraulic disc,"Shimano MT400, 15x110mm thru-axle","Shimano MT400, 12x148mm thru-axle","WTB STX i25 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.3,29,"WTB Breakout, 29x2.3"", DNA Compound, Comp Level, 30TPI","WTB Breakout, 29x2.3"", DNA Compound, Comp Level, 30TPI","WTB Breakout, 29x2.3"", DNA Compound, Comp Level, 30TPI","Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","3D Forged 6061 Alloy, 1-1/8"", 31.8, 7°",Cannondale Locking Grips,Cannondale Ergo XC,"TranzX dropper, internal routing, 31.6, 100mm (S), 120mm (M), 130mm (L-XL)",,,https://embed.widencdn.net/img/dorelrl/kzq6p6wekc/800px@1x/C21_C69201M_Moterra_Neo_5_MAT_D6.jpg?color=f1f3e2&q=90,,,"X-Fusion 02 Pro RL, Rebound and Lockout",Shimano STEPS DU-E7000 250W,"Shimano STEPS BT-E8035, 504Wh",Shimano Battery Charger 2A,"Shimano SC-E7000, Bluetooth enabled",,Disc
SuperSix EVO,SuperSix EVO Carbon Disc Ultegra,"$4,550",Purple,C11651M,"SuperSix EVO Carbon, integrated cable routing w/ Switchplate, 12x142 Speed Release thru-axle, SAVE, PF30a, flat mount disc, integrated seat binder","SuperSix EVO Carbon, SAVE, integrated crown race, 12x100mm Speed Release thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" steerer and 55mm offset (44-54cm), 1/8"" to 1-3/8” steerer and 45mm offset (56-62cm)","Integrated, 1-1/8"" - 1-1/4"" (44-54cm), 1-1/8"" - 1-3/8"" (56-62cm)",Shimano Ultegra,"Shimano Ultegra, braze-on","Shimano Ultegra, 11-speed","Shimano HG601, 11-speed","Cannondale 1, BB30a, 52/36","Shimano 105, 11-32, 11-speed",Cannondale Alloy PressFit30,"Shimano Ultegra hydraulic disc, 160/160mm RT800 rotors",Shimano Ultegra,"Formula, 12x100mm","Formula, 12x142mm","HollowGram 35, Carbon, 24h front, 28h rear, 35mm deep, 19mm inner width, tubeless ready","HollowGram, 2.0/1.8/2.0, straight-pull",25,700c,"Vittoria Rubino Pro Bright Black, 700x25c, reflective strip","Vittoria Rubino Pro Bright Black, 700x25c, reflective strip","Vittoria Rubino Pro Bright Black, 700x25c, reflective strip","HollowGram SAVE SystemBar, Carbon, 8 deg. pitch adjust","HollowGram KNØT, Alloy w/ cable cover, -6°","Cannondale Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","HollowGram 27 SL KNØT, Carbon, 2 bolt clamp, 330mm",Cannondale Wheel Sensor,,/-/media/images/my20/bikes/road/race/supersix-evo/supersix-evo-in-the-wild-7.ashx,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
